Designator,Comment,Footprint,LCSC
"U6,U7",UCC27517DBVR,Package_TO_SOT_SMD:SOT-23-5_HandSoldering,C99395
"U5,U8",LMR51430,Package_TO_SOT_SMD:SOT-23-6,C5185863
U4,MIC5235-3.3YM5,Package_TO_SOT_SMD:SOT-23-5,C7202997
U3,74LVC2G125,Package_SO:SSOP-8_2.95x2.8mm_P0.65mm,C2675807
U2,OPA1678,Package_SO:SOIC-8_5.3x6.2mm_P1.27mm,C192421
U1,TLV61047DDC,Package_TO_SOT_SMD:SOT-23-5,C44538408
R15,0Ω,PCM_JLCPCB:R_0603,C21189
R14,1kΩ,PCM_JLCPCB:R_0603,C13167
"R11,R16",30kΩ,PCM_JLCPCB:R_0603,C22984
R9,11kΩ,PCM_JLCPCB:R_0603,C25950
R8,36kΩ,PCM_JLCPCB:R_0603,C23147
R6,8.2kΩ,PCM_JLCPCB:R_0603,C25981
R5,150K,PCM_JLCPCB:R_0603,C22807
R3,33kΩ,PCM_JLCPCB:R_0603,C4216
"R1,R2,R4,R10,R13,R17",10kΩ,PCM_JLCPCB:R_0603,C25804
Q2,BC847BS,PCM_JLCPCB:SOT-363_SC-70-6,C41375126
Q1,DMN10H220LPDW,diodesInc:DMN10H220LPDW13,
L1,4.7uH,Inductor_SMD:L_TechFuse_SL0420,C22463808
D1,B240,Diode_SMD:D_SMB,C6807776
"C30,C32",100nF,PCM_JLCPCB:C_0805,C28233
C26,100uF,Capacitor_SMD:C_Elec_6.3x5.8,C7469933
"C23,C24,C31,C33,C34",22uF,PCM_JLCPCB:C_0805,C45783
"C21,C22",2.2uF,PCM_JLCPCB:C_0805,C377773
"C15,C16,C25,C27",4.7uF,PCM_JLCPCB:C_0805,C1779
C14,22nF,PCM_JLCPCB:C_0603,C21122
"C6,C7,C11,C12,C17,C18,C19,C20,C28,C29",100nF,PCM_JLCPCB:C_0603,C14663
"C5,C13",220nF,PCM_JLCPCB:C_0603,C21120
"C4,C10",1uF,PCM_JLCPCB:C_0603,C15849
"C2,C3,C8,C9,C41",10uF,PCM_JLCPCB:C_1206,C13585
"C1,C40",47uF,Capacitor_SMD:CP_Elec_6.3x5.8,C336786
