Designator,Footprint,Comment,LCSC Part Number
"C1, C40",CP_Elec_6.3x5.8,47uF,C336786
"C10, C4",C_0603,1uF,C15849
"C11, C12, C17, C18, C19, C20, C28, C29, C6, C7",C_0603,100nF,C14663
"C13, C5",C_0603,220nF,C21120
C14,C_0603,22nF,C21122
"C15, C16, C25, C27",C_0805,4.7uF,C1779
"C2, C3, C41, C8, C9",C_1206,10uF,C13585
"C21, C22",C_0805,2.2uF,C377773
"C23, C24, C31, C33, C34",C_0805,22uF,C45783
C26,C_Elec_6.3x5.8,100uF,C7469933
"C30, C32",C_0805,100nF,C28233
D1,D_SMB,B240,C6807776
L1,L_TechFuse_SL0420,4.7uH,C22463808
"L2, L5",Inductor_SMD:L_TechFuse_SL0624,6.8uH,C22463814
Q1,DMN10H220LPDW13,DMN10H220LPDW,
Q2,SOT-363_SC-70-6,BC847BS,C41375126
"R1, R10, R13, R17, R2, R4",R_0603,10kΩ,C25804
"R11, R16",R_0603,30kΩ,C22984
R14,R_0603,1kΩ,C13167
R15,R_0603,0Ω,C21189
R3,R_0603,33kΩ,C4216
R5,R_0603,150K,C22807
R6,R_0603,8.2kΩ,C25981
R8,R_0603,36kΩ,C23147
R9,R_0603,11kΩ,C25950
U1,SOT-23-5,TLV61047DDC,C44538408
U2,SOIC-8_5.3x6.2mm_P1.27mm,OPA1678,C192421
U3,SSOP-8_2.95x2.8mm_P0.65mm,74LVC2G125,C2675807
U4,SOT-23-5,MIC5235-3.3YM5,C7202997
"U5, U8",SOT-23-6,LMR51430,C5185863
"U6, U7",SOT-23-5_HandSoldering,UCC27517DBVR,C99395
