Designator,Mid X,Mid Y,Rotation,Layer
C1,7.0,42.5,180.0,top
C10,20.25,26.75,270.0,top
C11,16.71,16.75,90.0,top
C12,10.6,3.6,180.0,top
C13,25.25,62.75,270.0,top
C14,22.25,53.5,180.0,top
C15,39.5,47.2,90.0,top
C16,42.0,47.2,90.0,top
C17,37.25,46.95,90.0,top
C18,20.21,18.0,90.0,top
C19,30.4,46.6,270.0,top
C2,9.25,35.25,270.0,top
C20,15.46,9.75,180.0,top
C21,22.46,18.25,90.0,top
C22,15.46,7.75,180.0,top
C23,32.4,24.8,180.0,top
C24,32.4,27.4,180.0,top
C25,64.0,46.2,90.0,top
C26,39.55,26.2,180.0,top
C27,61.5,46.2,90.0,top
C28,59.25,46.2,90.0,top
C29,52.6,45.8,270.0,top
C3,6.25,35.25,270.0,top
C30,69.71,21.0,0.0,top
C31,47.2,38.8,90.0,top
C32,73.46,8.0,90.0,top
C33,49.6,38.8,90.0,top
C34,44.8,38.8,90.0,top
C35,73.25,25.0,0.0,bottom
C36,79.25,35.0,90.0,bottom
C37,73.75,45.0,0.0,bottom
C38,79.25,59.5,90.0,bottom
C39,74.0,69.75,0.0,bottom
C4,12.0,39.0,90.0,top
C40,58.6,27.6,270.0,top
C41,52.8,25.6,90.0,top
C5,15.75,62.5,270.0,top
C6,13.25,56.25,270.0,top
C7,25.2,57.2,270.0,top
C8,17.75,26.0,270.0,top
C9,14.75,26.0,270.0,top
D1,17.5,31.75,180.0,top
J1,2.5,35.505,0.0,top
J10,50.4,59.06,0.0,top
J11,76.0,17.71,0.0,top
J12,82.21,15.25,180.0,top
J13,48.5,26.005,0.0,top
J14,64.25,69.21,270.0,top
J2,4.79,61.5,0.0,top
J3,16.8,44.255,0.0,top
J4,13.87,68.0,90.0,top
J5,4.79,11.0,0.0,top
J6,25.2,45.66,0.0,top
J7,5.605,21.2,270.0,top
J8,37.6,56.8,90.0,top
J9,65.4,56.6,0.0,top
L1,15.5,36.75,270.0,top
L2,33.4,40.0,270.0,top
L3,43.4,12.6,270.0,top
L4,61.71,12.0,0.0,top
L5,54.6,38.8,270.0,top
L6,79.25,35.0,90.0,top
L7,79.25,59.5,90.0,top
Q1,32.4,11.8,270.0,top
Q2,53.4,51.6,0.0,top
R1,21.6,41.0,90.0,top
R10,13.0,16.75,270.0,top
R11,35.25,52.4,90.0,top
R13,37.0,52.4,90.0,top
R14,50.4,52.6,270.0,top
R15,56.8,51.6,270.0,top
R16,58.65,51.6,90.0,top
R17,60.6,51.6,90.0,top
R2,10.25,60.5,270.0,top
R3,10.75,63.25,0.0,top
R4,23.0,36.8,90.0,top
R5,23.6,27.6,180.0,top
R6,13.75,62.5,270.0,top
R8,19.5,63.5,0.0,top
R9,23.25,62.75,270.0,top
TP1,8.75,49.25,0.0,top
TP2,9.2,27.4,0.0,top
TP3,48.4,45.0,0.0,top
U1,20.5,36.75,270.0,top
U2,19.5,57.75,270.0,top
U3,14.96,13.25,270.0,top
U4,14.96,4.5,0.0,top
U5,34.25,47.2,270.0,top
U6,20.71,8.75,180.0,top
U7,21.21,13.75,90.0,top
U8,56.5,46.45,270.0,top
